,Регион,Год,Число больничных органзаций,Unnamed: 0,index,ranks
0,Акмолинская,2003,52,,1.0,1
1,Акмолинская,2003,52,,2.7,2
2,Акмолинская,2003,52,,4.4,3
3,Акмолинская,2003,52,,6.1,4
4,Акмолинская,2003,52,,7.8,5
5,Акмолинская,2003,52,,9.5,6
6,Акмолинская,2003,52,,11.2,7
7,Акмолинская,2003,52,,12.9,8
8,Акмолинская,2003,52,,14.6,9
9,Акмолинская,2003,52,,16.299999999999997,10
0,Актюбинская,2003,52,,2.0,1
1,Актюбинская,2003,52,,3.7,2
2,Актюбинская,2003,52,,5.4,3
3,Актюбинская,2003,52,,7.1,4
4,Актюбинская,2003,52,,8.8,5
5,Актюбинская,2003,53,,10.5,6
6,Актюбинская,2003,53,,12.2,7
7,Актюбинская,2003,53,,13.9,8
8,Актюбинская,2003,53,,15.6,9
9,Актюбинская,2003,53,,17.299999999999997,10
9,Алматинская,2003,82,,18.299999999999997,1
8,Алматинская,2003,82,,16.6,2
7,Алматинская,2003,82,,14.9,3
6,Алматинская,2003,82,,13.2,4
5,Алматинская,2003,82,,11.5,5
4,Алматинская,2003,82,,9.8,6
3,Алматинская,2003,82,,8.1,7
2,Алматинская,2003,82,,6.4,8
1,Алматинская,2003,82,,4.7,9
0,Алматинская,2003,83,,3.0,10
0,Атырауская,2003,39,,4.0,1
1,Атырауская,2003,39,,5.7,2
2,Атырауская,2003,39,,7.4,3
3,Атырауская,2003,39,,9.1,4
4,Атырауская,2003,39,,10.8,5
5,Атырауская,2003,39,,12.5,6
6,Атырауская,2003,39,,14.2,7
7,Атырауская,2003,39,,15.9,8
8,Атырауская,2003,39,,17.6,9
9,Атырауская,2003,39,,19.299999999999997,10
0,ВКО,2003,104,,14.0,1
1,ВКО,2003,104,,15.7,2
2,ВКО,2003,104,,17.4,3
3,ВКО,2003,104,,19.1,4
4,ВКО,2003,104,,20.8,5
5,ВКО,2003,104,,22.5,6
6,ВКО,2003,104,,24.2,7
7,ВКО,2003,104,,25.9,8
8,ВКО,2003,104,,27.6,9
9,ВКО,2003,104,,29.299999999999997,10
0,Жамбылская,2003,58,,6.0,1
1,Жамбылская,2003,58,,7.7,2
2,Жамбылская,2003,58,,9.4,3
3,Жамбылская,2003,58,,11.1,4
4,Жамбылская,2003,58,,12.8,5
5,Жамбылская,2003,58,,14.5,6
6,Жамбылская,2003,58,,16.2,7
7,Жамбылская,2003,58,,17.9,8
8,Жамбылская,2003,58,,19.6,9
9,Жамбылская,2003,58,,21.299999999999997,10
9,ЗКО,2003,54,,20.299999999999997,1
8,ЗКО,2003,54,,18.6,2
7,ЗКО,2003,54,,16.9,3
6,ЗКО,2003,54,,15.2,4
5,ЗКО,2003,55,,13.5,5
4,ЗКО,2003,55,,11.8,6
3,ЗКО,2003,55,,10.1,7
2,ЗКО,2003,55,,8.4,8
1,ЗКО,2003,55,,6.7,9
0,ЗКО,2003,56,,5.0,10
0,Карагандинская,2003,91,,7.0,1
1,Карагандинская,2003,91,,8.7,2
2,Карагандинская,2003,92,,10.4,3
3,Карагандинская,2003,93,,12.1,4
4,Карагандинская,2003,94,,13.8,5
5,Карагандинская,2003,95,,15.5,6
6,Карагандинская,2003,96,,17.2,7
7,Карагандинская,2003,97,,18.9,8
8,Карагандинская,2003,98,,20.6,9
9,Карагандинская,2003,99,,22.299999999999997,10
0,Костанайская,2003,51,,8.0,1
1,Костанайская,2003,51,,9.7,2
2,Костанайская,2003,51,,11.4,3
3,Костанайская,2003,51,,13.1,4
4,Костанайская,2003,51,,14.8,5
5,Костанайская,2003,51,,16.5,6
6,Костанайская,2003,51,,18.2,7
7,Костанайская,2003,51,,19.9,8
8,Костанайская,2003,51,,21.6,9
9,Костанайская,2003,51,,23.299999999999997,10
0,Кызылординская,2003,64,,9.0,1
1,Кызылординская,2003,64,,10.7,2
2,Кызылординская,2003,64,,12.4,3
3,Кызылординская,2003,64,,14.1,4
4,Кызылординская,2003,64,,15.8,5
5,Кызылординская,2003,65,,17.5,6
6,Кызылординская,2003,65,,19.2,7
7,Кызылординская,2003,65,,20.9,8
8,Кызылординская,2003,65,,22.6,9
9,Кызылординская,2003,65,,24.299999999999997,10
0,Мангистауская,2003,35,,10.0,1
1,Мангистауская,2003,35,,11.7,2
2,Мангистауская,2003,35,,13.4,3
3,Мангистауская,2003,35,,15.1,4
4,Мангистауская,2003,35,,16.8,5
5,Мангистауская,2003,35,,18.5,6
6,Мангистауская,2003,35,,20.2,7
7,Мангистауская,2003,35,,21.9,8
8,Мангистауская,2003,35,,23.6,9
9,Мангистауская,2003,35,,25.299999999999997,10
0,Павлодарская,2003,69,,11.0,1
1,Павлодарская,2003,69,,12.7,2
2,Павлодарская,2003,69,,14.4,3
3,Павлодарская,2003,69,,16.1,4
4,Павлодарская,2003,69,,17.8,5
5,Павлодарская,2003,69,,19.5,6
6,Павлодарская,2003,69,,21.2,7
7,Павлодарская,2003,69,,22.9,8
8,Павлодарская,2003,69,,24.6,9
9,Павлодарская,2003,69,,26.299999999999997,10
0,Республика Казахстан,2003,1029,,0.0,1
1,Республика Казахстан,2003,1030,,1.7,2
2,Республика Казахстан,2003,1031,,3.4,3
3,Республика Казахстан,2003,1032,,5.1,4
4,Республика Казахстан,2003,1034,,6.8,5
5,Республика Казахстан,2003,1035,,8.5,6
6,Республика Казахстан,2003,1036,,10.2,7
7,Республика Казахстан,2003,1038,,11.9,8
8,Республика Казахстан,2003,1039,,13.6,9
9,Республика Казахстан,2003,1040,,15.299999999999999,10
0,СКО,2003,49,,12.0,1
1,СКО,2003,49,,13.7,2
2,СКО,2003,49,,15.4,3
3,СКО,2003,49,,17.1,4
4,СКО,2003,49,,18.8,5
5,СКО,2003,49,,20.5,6
6,СКО,2003,49,,22.2,7
7,СКО,2003,49,,23.9,8
8,СКО,2003,49,,25.6,9
9,СКО,2003,49,,27.299999999999997,10
0,Туркестанская**,2003,154,,13.0,1
1,Туркестанская**,2003,154,,14.7,2
2,Туркестанская**,2003,154,,16.4,3
3,Туркестанская**,2003,154,,18.1,4
4,Туркестанская**,2003,154,,19.8,5
5,Туркестанская**,2003,154,,21.5,6
6,Туркестанская**,2003,154,,23.2,7
7,Туркестанская**,2003,154,,24.9,8
8,Туркестанская**,2003,154,,26.6,9
9,Туркестанская**,2003,154,,28.299999999999997,10
9,город Алматы,2003,52,,31.299999999999997,1
8,город Алматы,2003,52,,29.6,2
7,город Алматы,2003,52,,27.9,3
6,город Алматы,2003,52,,26.2,4
5,город Алматы,2003,52,,24.5,5
4,город Алматы,2003,52,,22.8,6
3,город Алматы,2003,52,,21.1,7
2,город Алматы,2003,52,,19.4,8
1,город Алматы,2003,52,,17.7,9
0,город Алматы,2003,53,,16.0,10
0,город Астана,2003,19,,15.0,1
1,город Астана,2003,19,,16.7,2
2,город Астана,2003,19,,18.4,3
3,город Астана,2003,19,,20.1,4
4,город Астана,2003,19,,21.8,5
5,город Астана,2003,19,,23.5,6
6,город Астана,2003,19,,25.2,7
7,город Астана,2003,19,,26.9,8
8,город Астана,2003,19,,28.6,9
