,Регион,Год,Число больничных органзаций
0,Республика Казахстан,2003,1029.0
16,город Алматы,2003,53.0
15,город Астана,2003,19.0
14,Восточно-Казахстанская,2003,104.0
13,Туркестанская**,2003,154.0
11,Павлодарская,2003,69.0
10,Мангистауская,2003,35.0
9,Кызылординская,2003,64.0
12,Северо-Казахстанская,2003,49.0
7,Карагандинская,2003,91.0
6,Жамбылская,2003,58.0
5,Западно-Казахстанская,2003,56.0
4,Атырауская,2003,39.0
3,Алматинская,2003,83.0
2,Актюбинская,2003,52.0
1,Акмолинская,2003,52.0
8,Костанайская,2003,51.0
26,Кызылординская,2004,66.0
33,город Алматы,2004,52.0
32,город Астана,2004,19.0
31,Восточно-Казахстанская,2004,105.0
30,Туркестанская**,2004,154.0
28,Павлодарская,2004,69.0
27,Мангистауская,2004,36.0
25,Костанайская,2004,52.0
29,Северо-Казахстанская,2004,49.0
23,Жамбылская,2004,58.0
22,Западно-Казахстанская,2004,54.0
21,Атырауская,2004,39.0
20,Алматинская,2004,82.0
19,Актюбинская,2004,54.0
18,Акмолинская,2004,53.0
17,Республика Казахстан,2004,1042.0
24,Карагандинская,2004,100.0
50,город Алматы,2005,53.0
49,город Астана,2005,21.0
48,Восточно-Казахстанская,2005,106.0
47,Туркестанская**,2005,155.0
46,Северо-Казахстанская,2005,49.0
45,Павлодарская,2005,70.0
44,Мангистауская,2005,33.0
43,Кызылординская,2005,67.0
42,Костанайская,2005,56.0
40,Жамбылская,2005,58.0
39,Западно-Казахстанская,2005,54.0
38,Атырауская,2005,41.0
37,Алматинская,2005,87.0
36,Актюбинская,2005,56.0
35,Акмолинская,2005,54.0
34,Республика Казахстан,2005,1063.0
41,Карагандинская,2005,103.0
60,Кызылординская,2006,70.0
67,город Алматы,2006,51.0
66,город Астана,2006,22.0
65,Восточно-Казахстанская,2006,114.0
64,Туркестанская**,2006,153.0
62,Павлодарская,2006,64.0
61,Мангистауская,2006,33.0
59,Костанайская,2006,64.0
63,Северо-Казахстанская,2006,49.0
57,Жамбылская,2006,61.0
51,Республика Казахстан,2006,1086.0
52,Акмолинская,2006,62.0
53,Актюбинская,2006,59.0
58,Карагандинская,2006,106.0
55,Атырауская,2006,43.0
56,Западно-Казахстанская,2006,53.0
54,Алматинская,2006,82.0
78,Мангистауская,2007,30.0
84,город Алматы,2007,51.0
83,город Астана,2007,23.0
82,Восточно-Казахстанская,2007,116.0
81,Туркестанская**,2007,133.0
80,Северо-Казахстанская,2007,49.0
79,Павлодарская,2007,61.0
