Регион,Год,Число больничных органзаций
Республика Казахстан,2003,1029.0
Акмолинская,2003,52.0
Актюбинская,2003,52.0
Алматинская,2003,83.0
Атырауская,2003,39.0
Западно-Казахстанская,2003,56.0
Жамбылская,2003,58.0
Карагандинская,2003,91.0
Костанайская,2003,51.0
Кызылординская,2003,64.0
Мангистауская,2003,35.0
Павлодарская,2003,69.0
Северо-Казахстанская,2003,49.0
Туркестанская**,2003,154.0
Восточно-Казахстанская,2003,104.0
город Астана,2003,19.0
город Алматы,2003,53.0
Республика Казахстан,2004,1042.0
Акмолинская,2004,53.0
Актюбинская,2004,54.0
Алматинская,2004,82.0
Атырауская,2004,39.0
Западно-Казахстанская,2004,54.0
Жамбылская,2004,58.0
Карагандинская,2004,100.0
Костанайская,2004,52.0
Кызылординская,2004,66.0
Мангистауская,2004,36.0
Павлодарская,2004,69.0
Северо-Казахстанская,2004,49.0
Туркестанская**,2004,154.0
Восточно-Казахстанская,2004,105.0
город Астана,2004,19.0
город Алматы,2004,52.0
Республика Казахстан,2005,1063.0
Акмолинская,2005,54.0
Актюбинская,2005,56.0
Алматинская,2005,87.0
Атырауская,2005,41.0
Западно-Казахстанская,2005,54.0
Жамбылская,2005,58.0
Карагандинская,2005,103.0
Костанайская,2005,56.0
Кызылординская,2005,67.0
Мангистауская,2005,33.0
Павлодарская,2005,70.0
Северо-Казахстанская,2005,49.0
Туркестанская**,2005,155.0
Восточно-Казахстанская,2005,106.0
город Астана,2005,21.0
город Алматы,2005,53.0
Республика Казахстан,2006,1086.0
Акмолинская,2006,62.0
Актюбинская,2006,59.0
Алматинская,2006,82.0
Атырауская,2006,43.0
Западно-Казахстанская,2006,53.0
Жамбылская,2006,61.0
Карагандинская,2006,106.0
Костанайская,2006,64.0
Кызылординская,2006,70.0
Мангистауская,2006,33.0
Павлодарская,2006,64.0
Северо-Казахстанская,2006,49.0
Туркестанская**,2006,153.0
Восточно-Казахстанская,2006,114.0
город Астана,2006,22.0
город Алматы,2006,51.0
Республика Казахстан,2007,1055.0
Акмолинская,2007,59.0
Актюбинская,2007,58.0
Алматинская,2007,85.0
Атырауская,2007,40.0
Западно-Казахстанская,2007,51.0
Жамбылская,2007,61.0
Карагандинская,2007,104.0
Костанайская,2007,64.0
Кызылординская,2007,70.0
Мангистауская,2007,30.0
Павлодарская,2007,61.0
Северо-Казахстанская,2007,49.0
Туркестанская**,2007,133.0
Восточно-Казахстанская,2007,116.0
город Астана,2007,23.0
город Алматы,2007,51.0
Республика Казахстан,2008,1041.0
Акмолинская,2008,48.0
Актюбинская,2008,60.0
Алматинская,2008,89.0
Атырауская,2008,40.0
Западно-Казахстанская,2008,50.0
Жамбылская,2008,59.0
Карагандинская,2008,105.0
Костанайская,2008,57.0
Кызылординская,2008,69.0
Мангистауская,2008,30.0
Павлодарская,2008,63.0
Северо-Казахстанская,2008,36.0
Туркестанская**,2008,130.0
Восточно-Казахстанская,2008,117.0
город Астана,2008,24.0
город Алматы,2008,64.0
Республика Казахстан,2009,1020.0
Акмолинская,2009,51.0
Актюбинская,2009,57.0
Алматинская,2009,88.0
Атырауская,2009,40.0
Западно-Казахстанская,2009,45.0
Жамбылская,2009,62.0
Карагандинская,2009,100.0
Костанайская,2009,57.0
Кызылординская,2009,68.0
Мангистауская,2009,30.0
Павлодарская,2009,60.0
Северо-Казахстанская,2009,36.0
Туркестанская**,2009,135.0
Восточно-Казахстанская,2009,102.0
город Астана,2009,26.0
город Алматы,2009,63.0
Республика Казахстан,2010,998.0
Акмолинская,2010,50.0
Актюбинская,2010,54.0
Алматинская,2010,90.0
Атырауская,2010,40.0
Западно-Казахстанская,2010,44.0
Жамбылская,2010,60.0
Карагандинская,2010,102.0
Костанайская,2010,57.0
Кызылординская,2010,61.0
Мангистауская,2010,27.0
Павлодарская,2010,60.0
Северо-Казахстанская,2010,29.0
Туркестанская**,2010,133.0
Восточно-Казахстанская,2010,103.0
город Астана,2010,26.0
город Алматы,2010,62.0
Республика Казахстан,2011,1009.0
Акмолинская,2011,44.0
Актюбинская,2011,52.0
Алматинская,2011,88.0
Атырауская,2011,41.0
Западно-Казахстанская,2011,42.0
Жамбылская,2011,58.0
Карагандинская,2011,97.0
Костанайская,2011,59.0
Кызылординская,2011,53.0
Мангистауская,2011,33.0
Павлодарская,2011,60.0
Северо-Казахстанская,2011,32.0
Туркестанская**,2011,153.0
Восточно-Казахстанская,2011,97.0
город Астана,2011,31.0
город Алматы,2011,69.0
Республика Казахстан,2012,990.0
Акмолинская,2012,41.0
Актюбинская,2012,52.0
Алматинская,2012,93.0
Атырауская,2012,41.0
Западно-Казахстанская,2012,40.0
Жамбылская,2012,57.0
Карагандинская,2012,100.0
Костанайская,2012,56.0
Кызылординская,2012,46.0
Мангистауская,2012,31.0
Павлодарская,2012,59.0
Северо-Казахстанская,2012,31.0
Туркестанская**,2012,138.0
Восточно-Казахстанская,2012,101.0
город Астана,2012,31.0
город Алматы,2012,73.0
Республика Казахстан,2013,995.0
Акмолинская,2013,40.0
Актюбинская,2013,51.0
Алматинская,2013,77.0
Атырауская,2013,40.0
Западно-Казахстанская,2013,41.0
Жамбылская,2013,62.0
Карагандинская,2013,93.0
Костанайская,2013,57.0
Кызылординская,2013,56.0
Мангистауская,2013,37.0
Павлодарская,2013,51.0
Северо-Казахстанская,2013,35.0
Туркестанская**,2013,139.0
Восточно-Казахстанская,2013,99.0
город Астана,2013,23.0
город Алматы,2013,94.0
Республика Казахстан,2014,911.0
Акмолинская,2014,40.0
Актюбинская,2014,48.0
Алматинская,2014,90.0
Атырауская,2014,37.0
Западно-Казахстанская,2014,38.0
Жамбылская,2014,56.0
Карагандинская,2014,88.0
Костанайская,2014,53.0
Кызылординская,2014,51.0
Мангистауская,2014,29.0
Павлодарская,2014,43.0
Северо-Казахстанская,2014,29.0
Туркестанская**,2014,118.0
Восточно-Казахстанская,2014,92.0
город Астана,2014,27.0
город Алматы,2014,72.0
Республика Казахстан,2015,901.0
Акмолинская,2015,38.0
Актюбинская,2015,47.0
Алматинская,2015,86.0
Атырауская,2015,36.0
Западно-Казахстанская,2015,37.0
Жамбылская,2015,57.0
Карагандинская,2015,83.0
Костанайская,2015,51.0
Кызылординская,2015,50.0
Мангистауская,2015,29.0
Павлодарская,2015,42.0
Северо-Казахстанская,2015,28.0
Туркестанская**,2015,122.0
Восточно-Казахстанская,2015,88.0
город Астана,2015,31.0
город Алматы,2015,76.0
Республика Казахстан,2016,877.0
Акмолинская,2016,37.0
Актюбинская,2016,47.0
Алматинская,2016,87.0
Атырауская,2016,35.0
Западно-Казахстанская,2016,32.0
Жамбылская,2016,52.0
Карагандинская,2016,78.0
Костанайская,2016,49.0
Кызылординская,2016,48.0
Мангистауская,2016,28.0
Павлодарская,2016,42.0
Северо-Казахстанская,2016,26.0
Туркестанская**,2016,124.0
Восточно-Казахстанская,2016,81.0
город Астана,2016,32.0
город Алматы,2016,79.0
Республика Казахстан,2017,853.0
Акмолинская,2017,37.0
Актюбинская,2017,45.0
Алматинская,2017,85.0
Атырауская,2017,29.0
Западно-Казахстанская,2017,31.0
Жамбылская,2017,51.0
Карагандинская,2017,81.0
Костанайская,2017,47.0
Кызылординская,2017,47.0
Мангистауская,2017,29.0
Павлодарская,2017,38.0
Северо-Казахстанская,2017,25.0
Туркестанская**,2017,117.0
Восточно-Казахстанская,2017,80.0
город Астана,2017,32.0
город Алматы,2017,79.0
Республика Казахстан,2018,788.0
Акмолинская,2018,30.0
Актюбинская,2018,46.0
Алматинская,2018,83.0
Атырауская,2018,28.0
Западно-Казахстанская,2018,29.0
Жамбылская,2018,48.0
Карагандинская,2018,76.0
Костанайская,2018,46.0
Кызылординская,2018,47.0
Мангистауская,2018,28.0
Павлодарская,2018,36.0
Северо-Казахстанская,2018,24.0
Туркестанская**,2018,40.0
Восточно-Казахстанская,2018,80.0
город Астана,2018,34.0
город Алматы,2018,87.0
город Шымкент,2018,26.0
Республика Казахстан,2019,749.0
Акмолинская,2019,27.0
Актюбинская,2019,44.0
Алматинская,2019,79.0
Атырауская,2019,28.0
Западно-Казахстанская,2019,29.0
Жамбылская,2019,47.0
Карагандинская,2019,72.0
Костанайская,2019,39.0
Кызылординская,2019,36.0
Мангистауская,2019,26.0
Павлодарская,2019,35.0
Северо-Казахстанская,2019,22.0
Туркестанская**,2019,39.0
Восточно-Казахстанская,2019,62.0
город Астана,2019,36.0
город Алматы,2019,92.0
город Шымкент,2019,36.0
Республика Казахстан,2020,773.0
Акмолинская,2020,29.0
Актюбинская,2020,44.0
Алматинская,2020,82.0
Атырауская,2020,29.0
Западно-Казахстанская,2020,29.0
Жамбылская,2020,47.0
Карагандинская,2020,75.0
Костанайская,2020,42.0
Кызылординская,2020,33.0
Мангистауская,2020,31.0
Павлодарская,2020,36.0
Северо-Казахстанская,2020,24.0
Туркестанская**,2020,43.0
Восточно-Казахстанская,2020,61.0
город Астана,2020,37.0
город Алматы,2020,91.0
город Шымкент,2020,40.0
Республика Казахстан,2021,773.0
Акмолинская,2021,29.0
Актюбинская,2021,44.0
Алматинская,2021,82.0
Атырауская,2021,29.0
Западно-Казахстанская,2021,29.0
Жамбылская,2021,47.0
Карагандинская,2021,75.0
Костанайская,2021,42.0
Кызылординская,2021,33.0
Мангистауская,2021,31.0
Павлодарская,2021,36.0
Северо-Казахстанская,2021,24.0
Туркестанская**,2021,43.0
Восточно-Казахстанская,2021,61.0
город Астана,2021,37.0
город Алматы,2021,91.0
город Шымкент,2021,40.0
Республика Казахстан,2022,818.0
Абай,2022,30.0
Акмолинская,2022,32.0
Актюбинская,2022,42.0
Алматинская,2022,44.0
Атырауская,2022,32.0
Западно-Казахстанская,2022,30.0
Жамбылская,2022,52.0
Жетысу,2022,36.0
Карагандинская,2022,61.0
Костанайская,2022,43.0
Кызылординская,2022,33.0
Мангистауская,2022,35.0
Павлодарская,2022,38.0
Северо-Казахстанская,2022,24.0
Туркестанская**,2022,47.0
Улытау,2022,11.0
Восточно-Казахстанская,2022,31.0
город Астана,2022,32.0
город Алматы,2022,77.0
город Шымкент,2022,88.0
