,Регион,Год,Ожидаемый возраст населения при рождении,Unnamed: 0,index,ranks
9,Акмолинская,1999,64.335,,16.299999999999997,1
8,Акмолинская,1999,64.34,,14.6,2
7,Акмолинская,1999,64.345,,12.9,3
6,Акмолинская,1999,64.35,,11.2,4
5,Акмолинская,1999,64.35499999999999,,9.5,5
4,Акмолинская,1999,64.36,,7.8,6
3,Акмолинская,1999,64.365,,6.1,7
2,Акмолинская,1999,64.36999999999999,,4.4,8
1,Акмолинская,1999,64.375,,2.7,9
0,Акмолинская,1999,64.38,,1.0,10
9,Актюбинская,1999,64.026,,17.299999999999997,1
8,Актюбинская,1999,64.162,,15.6,2
7,Актюбинская,1999,64.298,,13.9,3
6,Актюбинская,1999,64.434,,12.2,4
5,Актюбинская,1999,64.57,,10.5,5
4,Актюбинская,1999,64.706,,8.8,6
3,Актюбинская,1999,64.842,,7.1,7
2,Актюбинская,1999,64.978,,5.4,8
1,Актюбинская,1999,65.114,,3.7,9
0,Актюбинская,1999,65.25,,2.0,10
0,Алматинская,1999,66.74,,3.0,1
1,Алматинская,1999,66.746,,4.7,2
2,Алматинская,1999,66.752,,6.4,3
3,Алматинская,1999,66.758,,8.1,4
4,Алматинская,1999,66.764,,9.8,5
5,Алматинская,1999,66.77,,11.5,6
6,Алматинская,1999,66.776,,13.2,7
7,Алматинская,1999,66.782,,14.9,8
8,Алматинская,1999,66.788,,16.6,9
9,Алматинская,1999,66.794,,18.299999999999997,10
9,Алматы,1999,67.773,,31.299999999999997,1
8,Алматы,1999,67.796,,29.6,2
7,Алматы,1999,67.819,,27.9,3
6,Алматы,1999,67.842,,26.2,4
5,Алматы,1999,67.86500000000001,,24.5,5
4,Алматы,1999,67.888,,22.8,6
3,Алматы,1999,67.911,,21.1,7
2,Алматы,1999,67.934,,19.4,8
1,Алматы,1999,67.95700000000001,,17.7,9
0,Алматы,1999,67.98,,16.0,10
0,Астана,1999,67.6,,15.0,1
1,Астана,1999,67.756,,16.7,2
2,Астана,1999,67.91199999999999,,18.4,3
3,Астана,1999,68.068,,20.1,4
4,Астана,1999,68.22399999999999,,21.8,5
5,Астана,1999,68.38,,23.5,6
6,Астана,1999,68.536,,25.2,7
7,Астана,1999,68.692,,26.9,8
8,Астана,1999,68.848,,28.6,9
9,Астана,1999,69.00399999999999,,30.299999999999997,10
0,Атырауская,1999,63.86,,4.0,1
1,Атырауская,1999,63.91,,5.7,2
2,Атырауская,1999,63.96,,7.4,3
3,Атырауская,1999,64.01,,9.1,4
4,Атырауская,1999,64.06,,10.8,5
5,Атырауская,1999,64.11,,12.5,6
6,Атырауская,1999,64.16,,14.2,7
7,Атырауская,1999,64.21,,15.9,8
8,Атырауская,1999,64.26,,17.6,9
9,Атырауская,1999,64.31,,19.299999999999997,10
9,ВКО,1999,64.552,,29.299999999999997,1
8,ВКО,1999,64.59400000000001,,27.6,2
7,ВКО,1999,64.63600000000001,,25.9,3
6,ВКО,1999,64.67800000000001,,24.2,4
5,ВКО,1999,64.72,,22.5,5
4,ВКО,1999,64.762,,20.8,6
3,ВКО,1999,64.804,,19.1,7
2,ВКО,1999,64.846,,17.4,8
1,ВКО,1999,64.888,,15.7,9
0,ВКО,1999,64.93,,14.0,10
9,Жамбылская,1999,65.584,,21.299999999999997,1
8,Жамбылская,1999,65.688,,19.6,2
7,Жамбылская,1999,65.792,,17.9,3
6,Жамбылская,1999,65.896,,16.2,4
5,Жамбылская,1999,66.0,,14.5,5
4,Жамбылская,1999,66.104,,12.8,6
3,Жамбылская,1999,66.208,,11.1,7
2,Жамбылская,1999,66.312,,9.4,8
1,Жамбылская,1999,66.416,,7.7,9
0,Жамбылская,1999,66.52,,6.0,10
0,ЗКО,1999,65.23,,5.0,1
