,Регион,Год,Ожидаемый возраст населения при рождении
0,Республика Казахстан ,1999,65.63
16,г. Алматы,1999,67.98
15,г. Астана,1999,67.6
14,Восточно-Казахстанская,1999,64.93
13,Туркестанская*,1999,67.13
11,Павлодарская,1999,65.14
10,Мангистауская,1999,64.35
9,Кызылординская,1999,65.43
12,Северо-Казахстанская,1999,65.14
7,Карагандинская,1999,63.9
6,Жамбылская,1999,66.52
5,Западно-Казахстанская,1999,65.23
4,Атырауская,1999,63.86
3,Алматинская,1999,66.74
2,Актюбинская,1999,65.25
1,Акмолинская,1999,64.38
8,Костанайская,1999,64.99
26,Кызылординская,2000,65.57
33,г. Алматы,2000,67.75
32,г. Астана,2000,69.16
31,Восточно-Казахстанская,2000,64.51
30,Туркестанская*,2000,67.32
28,Павлодарская,2000,64.75
27,Мангистауская,2000,64.19
25,Костанайская,2000,64.85
29,Северо-Казахстанская,2000,65.0
23,Жамбылская,2000,65.48
22,Западно-Казахстанская,2000,65.28
21,Атырауская,2000,64.36
20,Алматинская,2000,66.8
19,Актюбинская,2000,63.89
18,Акмолинская,2000,64.33
17,Республика Казахстан ,2000,65.5
24,Карагандинская,2000,64.05
50,г. Алматы,2001,68.41
49,г. Астана,2001,69.05
48,Восточно-Казахстанская,2001,65.21
47,Туркестанская*,2001,67.39
46,Северо-Казахстанская,2001,65.14
45,Павлодарская,2001,64.95
44,Мангистауская,2001,63.34
43,Кызылординская,2001,65.78
42,Костанайская,2001,65.71
40,Жамбылская,2001,66.43
39,Западно-Казахстанская,2001,65.05
38,Атырауская,2001,64.93
37,Алматинская,2001,67.42
36,Актюбинская,2001,63.88
35,Акмолинская,2001,63.31
34,Республика Казахстан ,2001,65.8
41,Карагандинская,2001,64.16
61,Мангистауская,2002,63.92
67,г. Алматы,2002,68.73
66,г. Астана,2002,69.43
65,Восточно-Казахстанская,2002,65.37
64,Туркестанская*,2002,67.17
63,Северо-Казахстанская,2002,64.84
62,Павлодарская,2002,65.71
60,Кызылординская,2002,65.61
54,Алматинская,2002,67.44
58,Карагандинская,2002,64.3
57,Жамбылская,2002,66.67
56,Западно-Казахстанская,2002,64.85
55,Атырауская,2002,64.4
59,Костанайская,2002,65.96
