Регион,Год,Ожидаемый возраст населения при рождении
Республика Казахстан ,1999,65.63
Акмолинская,1999,64.38
Актюбинская,1999,65.25
Алматинская,1999,66.74
Атырауская,1999,63.86
Западно-Казахстанская,1999,65.23
Жамбылская,1999,66.52
Карагандинская,1999,63.9
Костанайская,1999,64.99
Кызылординская,1999,65.43
Мангистауская,1999,64.35
Павлодарская,1999,65.14
Северо-Казахстанская,1999,65.14
Туркестанская*,1999,67.13
Восточно-Казахстанская,1999,64.93
г. Астана,1999,67.6
г. Алматы,1999,67.98
Республика Казахстан ,2000,65.5
Акмолинская,2000,64.33
Актюбинская,2000,63.89
Алматинская,2000,66.8
Атырауская,2000,64.36
Западно-Казахстанская,2000,65.28
Жамбылская,2000,65.48
Карагандинская,2000,64.05
Костанайская,2000,64.85
Кызылординская,2000,65.57
Мангистауская,2000,64.19
Павлодарская,2000,64.75
Северо-Казахстанская,2000,65
Туркестанская*,2000,67.32
Восточно-Казахстанская,2000,64.51
г. Астана,2000,69.16
г. Алматы,2000,67.75
Республика Казахстан ,2001,65.8
Акмолинская,2001,63.31
Актюбинская,2001,63.88
Алматинская,2001,67.42
Атырауская,2001,64.93
Западно-Казахстанская,2001,65.05
Жамбылская,2001,66.43
Карагандинская,2001,64.16
Костанайская,2001,65.71
Кызылординская,2001,65.78
Мангистауская,2001,63.34
Павлодарская,2001,64.95
Северо-Казахстанская,2001,65.14
Туркестанская*,2001,67.39
Восточно-Казахстанская,2001,65.21
г. Астана,2001,69.05
г. Алматы,2001,68.41
Республика Казахстан ,2002,66
Акмолинская,2002,64.6
Актюбинская,2002,63.92
Алматинская,2002,67.44
Атырауская,2002,64.4
Западно-Казахстанская,2002,64.85
Жамбылская,2002,66.67
Карагандинская,2002,64.3
Костанайская,2002,65.96
Кызылординская,2002,65.61
Мангистауская,2002,63.92
Павлодарская,2002,65.71
Северо-Казахстанская,2002,64.84
Туркестанская*,2002,67.17
Восточно-Казахстанская,2002,65.37
г. Астана,2002,69.43
г. Алматы,2002,68.73
Республика Казахстан ,2003,65.83
Акмолинская,2003,63.71
Актюбинская,2003,64.34
Алматинская,2003,66.89
Атырауская,2003,65.32
Западно-Казахстанская,2003,64.97
Жамбылская,2003,66.23
Карагандинская,2003,63.82
Костанайская,2003,65.17
Кызылординская,2003,66.25
Мангистауская,2003,65.01
Павлодарская,2003,65.68
Северо-Казахстанская,2003,64.76
Туркестанская*,2003,67.07
Восточно-Казахстанская,2003,65.29
г. Астана,2003,70.45
г. Алматы,2003,68.17
Республика Казахстан ,2004,66.18
Акмолинская,2004,63.94
Актюбинская,2004,65.41
Алматинская,2004,67.02
Атырауская,2004,65.94
Западно-Казахстанская,2004,66.54
Жамбылская,2004,67.01
Карагандинская,2004,63.79
Костанайская,2004,65.41
Кызылординская,2004,67.01
Мангистауская,2004,65.33
Павлодарская,2004,65.82
Северо-Казахстанская,2004,65.03
Туркестанская*,2004,67.85
Восточно-Казахстанская,2004,65.37
